"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"4855","54","9","۞ كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ فَكَذَّبُوا عَبْدَنَا وَقَالُوا مَجْنُونٌ وَازْدُجِرَ","اِن سے پہلے نوحؑ کی قوم جھٹلا چکی ہے اُنہوں نے ہمارے بندے کو جھوٹا قرار دیا اور کہا کہ یہ دیوانہ ہے، اور وہ بری طرح جھڑکا گیا","Before them Noah's people also gave the lie (to his Message). They rejected Our servant as a liar, saying: “He is a madman”; and he was rebuffed."
"4856","54","10","فَدَعَا رَبَّهُ أَنِّي مَغْلُوبٌ فَانتَصِرْ","آخر کار اُس نے اپنے رب کو پکارا کہ ""میں مغلوب ہو چکا، اب تو اِن سے انتقام لے""","Then he called upon His Lord: “Verily I am vanquished; so come You to my aid.”"
"4857","54","11","فَفَتَحْنَا أَبْوَابَ السَّمَاءِ بِمَاءٍ مُّنْهَمِرٍ","تب ہم نے موسلا دھار بارش سے آسمان کے دروازے کھول دیے اور زمین کو پھاڑ کر چشموں میں تبدیل کر دیا","Thereupon We opened the gates of the sky for water to pour down,"
"4858","54","12","وَفَجَّرْنَا الْأَرْضَ عُيُونًا فَالْتَقَى الْمَاءُ عَلَىٰ أَمْرٍ قَدْ قُدِرَ","اور یہ سارا پانی اُس کام کو پورا کرنے لیے مل گیا جو مقدر ہو چکا تھا","and We made the earth burst forth with springs, and all this water converged to fulfil that which had been decreed."
"4859","54","13","وَحَمَلْنَاهُ عَلَىٰ ذَاتِ أَلْوَاحٍ وَدُسُرٍ","اور نوحؑ کو ہم نے ایک تختوں اور کیلوں والی پر سوار کر دیا","And We bore Noah on the vessel built of planks and nails,"
"4860","54","14","تَجْرِي بِأَعْيُنِنَا جَزَاءً لِّمَن كَانَ كُفِرَ","جو ہماری نگرانی میں چل رہی تھی یہ تھا بدلہ اُس شخص کی خاطر جس کی نا قدری کی گئی تھی","which sailed on under Our supervision: a reward for him who had been shown ingratitude."
"4861","54","15","وَلَقَد تَّرَكْنَاهَا آيَةً فَهَلْ مِن مُّدَّكِرٍ","اُس کشتی کو ہم نے ایک نشانی بنا کر چھوڑ دیا، پھر کوئی ہے نصیحت قبول کرنے والا؟","And We left the Ark as a Sign. Is there, then, any who will take heed?"
"4862","54","16","فَكَيْفَ كَانَ عَذَابِي وَنُذُرِ","دیکھ لو، کیسا تھا میرا عذاب اور کیسی تھیں میری تنبیہات","So how awesome were My chastisement and My warnings!"
"4863","54","17","وَلَقَدْ يَسَّرْنَا الْقُرْآنَ لِلذِّكْرِ فَهَلْ مِن مُّدَّكِرٍ","ہم نے اِس قرآن کو نصیحت کے لیے آسان ذریعہ بنا دیا ہے، پھر کیا ہے کوئی نصیحت قبول کرنے والا؟","We have made this Qur'an easy as a reminder. Is there, then, any who will take heed?"
"4864","54","18","كَذَّبَتْ عَادٌ فَكَيْفَ كَانَ عَذَابِي وَنُذُرِ","عاد نے جھٹلایا، تو دیکھ لو کہ کیسا تھا میرا عذاب اور کیسی تھیں میری تنبیہات","'Ad also gave the lie (to Hud). So how awesome were My chastisement and My warnings!"
"4865","54","19","إِنَّا أَرْسَلْنَا عَلَيْهِمْ رِيحًا صَرْصَرًا فِي يَوْمِ نَحْسٍ مُّسْتَمِرٍّ","ہم نے ایک پیہم نحوست کے دن سخت طوفانی ہوا اُن پر بھیج دی جو لوگوں کو اٹھا اٹھا کر اس طرح پھینک رہی تھی","We sent a tumultuous wind against them on a day of unremitting misfortune,"
"4866","54","20","تَنزِعُ النَّاسَ كَأَنَّهُمْ أَعْجَازُ نَخْلٍ مُّنقَعِرٍ","جیسے وہ جڑ سے اکھڑے ہوئے کھجور کے تنے ہوں","which tore people away and hurled them as though they were trunks of uprooted palm-trees."
"4867","54","21","فَكَيْفَ كَانَ عَذَابِي وَنُذُرِ","پس دیکھ لو کہ کیسا تھا میرا عذاب اور کیسی تھیں میری تنبیہات","So how awesome were My chastisement and My warnings!"
"4868","54","22","وَلَقَدْ يَسَّرْنَا الْقُرْآنَ لِلذِّكْرِ فَهَلْ مِن مُّدَّكِرٍ","ہم نے اِس قرآن کو نصیحت کے لیے آسان ذریعہ بنا دیا ہے، پھر کیا ہے کوئی نصیحت قبول کرنے والا؟","We have made the Qur'an easy to derive lessons from. Is there, then, any who will take heed?"
"4869","54","23","كَذَّبَتْ ثَمُودُ بِالنُّذُرِ","ثمود نے تنبیہات کو جھٹلایا","Thamud gave the lie to the warnings,"
"4870","54","24","فَقَالُوا أَبَشَرًا مِّنَّا وَاحِدًا نَّتَّبِعُهُ إِنَّا إِذًا لَّفِي ضَلَالٍ وَسُعُرٍ","اور کہنے لگے ""ایک اکیلا آدمی جو ہم ہی میں سے ہے کیا اب ہم اُس کے پیچھے چلیں؟ اِس کا اتباع ہم قبول کر لیں تو اِس کے معنی یہ ہوں گے کہ ہم بہک گئے ہیں اور ہماری عقل ماری گئی ہے","saying: “Are we to follow a single mortal, one from among ourselves? If we do that, we shall surely be in error and folly."
"4871","54","25","أَأُلْقِيَ الذِّكْرُ عَلَيْهِ مِن بَيْنِنَا بَلْ هُوَ كَذَّابٌ أَشِرٌ","کیا ہمارے درمیان بس یہی ایک شخص تھا جس پر خدا کا ذکر نازل کیا گیا؟ نہیں، بلکہ یہ پرلے درجے کا جھوٹا اور بر خود غلط ہے""","Was there none but he to whom the Reminder could be vouchsafed excluding all others? Nay; he is an insolent liar.”"
"4872","54","26","سَيَعْلَمُونَ غَدًا مَّنِ الْكَذَّابُ الْأَشِرُ","(ہم نے اپنے پیغمبر سے کہا) ""کل ہی اِنہیں معلوم ہوا جاتا ہے کہ کون پرلے درجے کا جھوٹا اور بر خود غلط ہے","(We told Our Messenger): “Tomorrow they shall know who is the insolent liar."
"4873","54","27","إِنَّا مُرْسِلُو النَّاقَةِ فِتْنَةً لَّهُمْ فَارْتَقِبْهُمْ وَاصْطَبِرْ","ہم اونٹنی کو اِن کے لیے فتنہ بنا کر بھیج رہے ہیں اب ذرا صبر کے ساتھ دیکھ کہ اِن کا کیا انجام ہوتا ہے","We shall send the she-camel as a trial for them; so watch their end with patience."
"4874","54","28","وَنَبِّئْهُمْ أَنَّ الْمَاءَ قِسْمَةٌ بَيْنَهُمْ ۖ كُلُّ شِرْبٍ مُّحْتَضَرٌ","اِن کو جتا دے کہ پانی اِن کے اور اونٹنی کے درمیان تقسیم ہوگا اور ہر ایک اپنی باری کے دن پانی پر آئے گا""","Let them know that the water should be divided between them and the she-camel, each availing their turn.”"
"4875","54","29","فَنَادَوْا صَاحِبَهُمْ فَتَعَاطَىٰ فَعَقَرَ","آخر کار اُن لوگوں نے اپنے آدمی کو پکارا اور اُس نے اِس کام کا بیڑا اٹھایا اور اونٹنی کو مار ڈالا","Eventually, they summoned their companion, and he undertook the (outrageous) task and hamstrung the she-camel."
"4876","54","30","فَكَيْفَ كَانَ عَذَابِي وَنُذُرِ","پھر دیکھ لو کہ کیسا تھا میرا عذاب اور کیسی تھیں میری تنبیہات","So how awesome were My chastisement and My warnings!"
"4877","54","31","إِنَّا أَرْسَلْنَا عَلَيْهِمْ صَيْحَةً وَاحِدَةً فَكَانُوا كَهَشِيمِ الْمُحْتَظِرِ","ہم نے اُن پر بس ایک ہی دھماکا چھوڑا اور وہ باڑے والے کی روندی ہوئی باڑھ کی طرح بھس ہو کر رہ گئے","Behold, We sent a single Blast against them, and they became like the trampled twigs of a sheep pen-builder."
"4878","54","32","وَلَقَدْ يَسَّرْنَا الْقُرْآنَ لِلذِّكْرِ فَهَلْ مِن مُّدَّكِرٍ","ہم نے اِس قرآن کو نصیحت کے لیے آسان ذریعہ بنا دیا ہے، اب ہے کوئی نصیحت قبول کرنے والا؟","Surely We have made this Qur'an easy as a reminder. Is there, then, any who will take heed?"
"4879","54","33","كَذَّبَتْ قَوْمُ لُوطٍ بِالنُّذُرِ","لوطؑ کی قوم نے تنبیہات کو جھٹلایا","Lot's people also gave the lie to the warnings,"
"4880","54","34","إِنَّا أَرْسَلْنَا عَلَيْهِمْ حَاصِبًا إِلَّا آلَ لُوطٍ ۖ نَّجَّيْنَاهُم بِسَحَرٍ","اور ہم نے پتھراؤ کرنے والی ہوا اس پر بھیج دی صرف لوطؑ کے گھر والے اُس سے محفوظ رہے","and behold, We let loose upon them a tempest which rained stones upon them, except upon Lot's household whom We rescued in the last hours of the night"
"4881","54","35","نِّعْمَةً مِّنْ عِندِنَا ۚ كَذَٰلِكَ نَجْزِي مَن شَكَرَ","اُن کو ہم نے اپنے فضل سے رات کے پچھلے پہر بچا کر نکال دیا یہ جزا دیتے ہیں ہم ہر اُس شخص کو جو شکر گزار ہوتا ہے","as a favour from Us. Thus do We reward those who give thanks."
"4882","54","36","وَلَقَدْ أَنذَرَهُم بَطْشَتَنَا فَتَمَارَوْا بِالنُّذُرِ","لوطؑ نے اپنی قوم کے لوگوں کو ہماری پکڑ سے خبردار کیا مگر وہ ساری تنبیہات کو مشکوک سمجھ کر باتوں میں اڑاتے رہے","Surely Lot warned his people that We shall seize them (with Our chastisement), but they doubted the warnings."
"4883","54","37","وَلَقَدْ رَاوَدُوهُ عَن ضَيْفِهِ فَطَمَسْنَا أَعْيُنَهُمْ فَذُوقُوا عَذَابِي وَنُذُرِ","پھر انہوں نے اُسے اپنے مہمانوں کی حفاظت سے باز رکھنے کی کوشش کی آخر کار ہم نے اُن کی آنکھیں موند دیں کہ چکھو اب میرے عذاب اور میری تنبیہات کا مزا","Then they even solicited his guests from him, whereupon We blotted out their eyes, (telling them): “Now have a taste of My chastisement and My warnings.”"
"4884","54","38","وَلَقَدْ صَبَّحَهُم بُكْرَةً عَذَابٌ مُّسْتَقِرٌّ","صبح سویرے ہی ایک اٹل عذاب نے ان کو آ لیا","Indeed an abiding chastisement came upon them in the morning."
"4885","54","39","فَذُوقُوا عَذَابِي وَنُذُرِ","چکھو مزا اب میرے عذاب کا اور میری تنبیہات کا","So have a taste of My chastisement and My warnings."
"4886","54","40","وَلَقَدْ يَسَّرْنَا الْقُرْآنَ لِلذِّكْرِ فَهَلْ مِن مُّدَّكِرٍ","ہم نے اِس قرآن کو نصیحت کے لیے آسان ذریعہ بنا دیا ہے، پس ہے کوئی نصیحت قبول کرنے والا؟","Surely We have made this Qur'an easy as a reminder. Is there, then, any who will take heed?"
"4887","54","41","وَلَقَدْ جَاءَ آلَ فِرْعَوْنَ النُّذُرُ","اور آل فرعون کے پاس بھی تنبیہات آئی تھیں","Warnings also came to the Pharaonites,"
"4888","54","42","كَذَّبُوا بِآيَاتِنَا كُلِّهَا فَأَخَذْنَاهُمْ أَخْذَ عَزِيزٍ مُّقْتَدِرٍ","مگر انہوں نے ہماری ساری نشانیوں کو جھٹلا دیا آخر کو ہم نے انہیں پکڑا جس طرح کوئی زبردست قدرت والا پکڑتا ہے","but they gave the lie to Our Signs, to all of them. Thereupon We seized them with the seizing of the Most Mighty, the Most Powerful."
"4889","54","43","أَكُفَّارُكُمْ خَيْرٌ مِّنْ أُولَـٰئِكُمْ أَمْ لَكُم بَرَاءَةٌ فِي الزُّبُرِ","کیا تمہارے کفار کچھ اُن لوگوں سے بہتر ہیں؟ یا آسمانی کتابوں میں تمہارے لیے کوئی معافی لکھی ہوئی ہے؟","Are your unbelievers (of Makkah) any better than they? Or have you been granted any immunity in the Scriptures?"
"4890","54","44","أَمْ يَقُولُونَ نَحْنُ جَمِيعٌ مُّنتَصِرٌ","یا اِن لوگوں کا کہنا یہ ہے کہ ہم ایک مضبوط جتھا ہیں، اپنا بچاؤ کر لیں گے؟","Or do they say: “We are a strong legion, strong enough for victory?”"
"4891","54","45","سَيُهْزَمُ الْجَمْعُ وَيُوَلُّونَ الدُّبُرَ","عنقریب یہ جتھا شکست کھا جائے گا اور یہ سب پیٹھ پھیر کر بھاگتے نظر آئیں گے","Soon shall this legion be routed and shall turn their backs and flee."
"4892","54","46","بَلِ السَّاعَةُ مَوْعِدُهُمْ وَالسَّاعَةُ أَدْهَىٰ وَأَمَرُّ","بلکہ اِن سے نمٹنے کے لیے اصل وعدے کا وقت تو قیامت ہے اور وہ بڑی آفت اور زیادہ تلخ ساعت ہے","Nay; the Hour of Doom is their appointed time, and the Hour shall be more calamitous and bitter."
"4893","54","47","إِنَّ الْمُجْرِمِينَ فِي ضَلَالٍ وَسُعُرٍ","یہ مجرم لوگ در حقیقت غلط فہمی میں میں مبتلا ہیں اور اِن کی عقل ماری گئی ہے","The evil-doers are victims of error and madness."
"4894","54","48","يَوْمَ يُسْحَبُونَ فِي النَّارِ عَلَىٰ وُجُوهِهِمْ ذُوقُوا مَسَّ سَقَرَ","جس روز یہ منہ کے بل آگ میں گھسیٹے جائیں گے اُس روز اِن سے کہا جائے گا کہ اب چکھو جہنم کی لپٹ کا مزا","There shall come a Day when they will be dragged on their faces into the Fire and will be told: “Now taste the flame of Hell.”"
"4895","54","49","إِنَّا كُلَّ شَيْءٍ خَلَقْنَاهُ بِقَدَرٍ","ہم نے ہر چیز ایک تقدیر کے ساتھ پیدا کی ہے","We have created everything in a determined measure."
"4896","54","50","وَمَا أَمْرُنَا إِلَّا وَاحِدَةٌ كَلَمْحٍ بِالْبَصَرِ","اور ہمارا حکم بس ایک ہی حکم ہوتا ہے اور پلک جھپکاتے وہ عمل میں آ جاتا ہے","Our command consists of only one Word which is carried out in the twinkling of an eye."
"4897","54","51","وَلَقَدْ أَهْلَكْنَا أَشْيَاعَكُمْ فَهَلْ مِن مُّدَّكِرٍ","تم جیسے بہت سوں کو ہم ہلاک کر چکے ہیں، پھر ہے کوئی نصیحت قبول کرنے والا؟","We did indeed destroy many like you. Is there, then, any who will heed?"
"4898","54","52","وَكُلُّ شَيْءٍ فَعَلُوهُ فِي الزُّبُرِ","جو کچھ اِنہوں نے کیا ہے وہ سب دفتروں میں درج ہے","All their deeds are recorded in the Scrolls;"
"4899","54","53","وَكُلُّ صَغِيرٍ وَكَبِيرٍ مُّسْتَطَرٌ","اور ہر چھوٹی بڑی بات لکھی ہوئی موجود ہے","everything large or small, is duly inscribed."
"4900","54","54","إِنَّ الْمُتَّقِينَ فِي جَنَّاتٍ وَنَهَرٍ","نافرمانی سے پرہیز کرنے والے یقیناً باغوں اور نہروں میں ہوں گے","Surely those who shun disobedience will dwell amidst Gardens and running streams"
"4901","54","55","فِي مَقْعَدِ صِدْقٍ عِندَ مَلِيكٍ مُّقْتَدِرٍ","سچی عزت کی جگہ، بڑے ذی اقتدار بادشاہ کے قریب","where they will be honourably seated in the presence of a King, Mighty in Power."
"4902","55","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ الرَّحْمَـٰنُ","رحمٰن نے","The Merciful One"
"4903","55","2","عَلَّمَ الْقُرْآنَ","اِس قرآن کی تعلیم دی ہے","has taught the Qur'an,"
"4904","55","3","خَلَقَ الْإِنسَانَ","اُسی نے انسان کو پیدا کیا","has created man,"
"4905","55","4","عَلَّمَهُ الْبَيَانَ","اور اسے بولنا سکھایا","and has taught him articulate speech."
"4906","55","5","الشَّمْسُ وَالْقَمَرُ بِحُسْبَانٍ","سورج اور چاند ایک حساب کے پابند ہیں","The sun and the moon follow a reckoning,"
"4907","55","6","وَالنَّجْمُ وَالشَّجَرُ يَسْجُدَانِ","اور تارے اور درخت سب سجدہ ریز ہیں","and the stars and the trees all prostrate themselves,"
"4908","55","7","وَالسَّمَاءَ رَفَعَهَا وَوَضَعَ الْمِيزَانَ","آسمان کو اُس نے بلند کیا اور میزان قائم کر دی","and He has raised up the heaven and has set a balance"
"4909","55","8","أَلَّا تَطْغَوْا فِي الْمِيزَانِ","اِس کا تقاضا یہ ہے کہ تم میزان میں خلل نہ ڈالو","that you may not transgress in the balance,"
"4910","55","9","وَأَقِيمُوا الْوَزْنَ بِالْقِسْطِ وَلَا تُخْسِرُوا الْمِيزَانَ","انصاف کے ساتھ ٹھیک ٹھیک تولو اور ترازو میں ڈنڈی نہ مارو","but weigh things equitably and skimp not in the balance."
"4911","55","10","وَالْأَرْضَ وَضَعَهَا لِلْأَنَامِ","زمین کو اس نے سب مخلوقات کے لیے بنایا","And He has set up the earth for all beings."
"4912","55","11","فِيهَا فَاكِهَةٌ وَالنَّخْلُ ذَاتُ الْأَكْمَامِ","اس میں ہر طرح کے بکثرت لذیذ پھل ہیں کھجور کے درخت ہیں جن کے پھل غلافوں میں لپٹے ہوئے ہیں","Therein are fruit and palm-trees with their dates in sheaths,"
"4913","55","12","وَالْحَبُّ ذُو الْعَصْفِ وَالرَّيْحَانُ","طرح طرح کے غلے ہیں جن میں بھوسا بھی ہوتا ہے اور دانہ بھی","and a variety of corn with both husk and grain."
"4914","55","13","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کی کن کن نعمتوں کو جھٹلاؤ گے؟","Which of the bounties of your Lord will you twain – you men and jinn – then deny?"
"4915","55","14","خَلَقَ الْإِنسَانَ مِن صَلْصَالٍ كَالْفَخَّارِ","انسان کو اُس نے ٹھیکری جیسے سوکھے سڑے ہوئے گارے سے بنایا","He has created man from dry, rotten clay like the potter's,"
"4916","55","15","وَخَلَقَ الْجَانَّ مِن مَّارِجٍ مِّن نَّارٍ","اور جن کو آگ کی لپٹ سے پیدا کیا","and has created the jinn from the flame of fire."
"4917","55","16","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کے کن کن عجائب قدرت کو جھٹلاؤ گے؟","Which of the wonders of your Lord's power will you twain – you men and jinn – then deny?"
"4918","55","17","رَبُّ الْمَشْرِقَيْنِ وَرَبُّ الْمَغْرِبَيْنِ","دونوں مشرق اور دونوں مغرب، سب کا مالک و پروردگار وہی ہے","Lord of the two easts and of the two wests is He."
"4919","55","18","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کی کن کن قدرتوں کو جھٹلاؤ گے؟","Which of the powers of your Lord will you twain – you men and jinn – then deny?"
"4920","55","19","مَرَجَ الْبَحْرَيْنِ يَلْتَقِيَانِ","دو سمندروں کو اس نے چھوڑ دیا کہ باہم مل جائیں","He unleashed the two seas so that they merge together,"
"4921","55","20","بَيْنَهُمَا بَرْزَخٌ لَّا يَبْغِيَانِ","پھر بھی اُن کے درمیان ایک پردہ حائل ہے جس سے وہ تجاوز نہیں کرتے","and yet there is a barrier between them which they may not overstep."
"4922","55","21","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کی قدرت کے کن کن کرشموں کو جھٹلاؤ گے؟","Which of the wonders of your Lord will you twain – you men and jinn – then deny?"
"4923","55","22","يَخْرُجُ مِنْهُمَا اللُّؤْلُؤُ وَالْمَرْجَانُ","اِن سمندروں سے موتی اور مونگے نکلتے ہیں","From these seas come forth pearls and coral."
"4924","55","23","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کی قدرت کے کن کن کمالات کو جھٹلاؤ گے؟","Which of the wonders of your Lord's power will you twain – you men and jinn – then deny?"
"4925","55","24","وَلَهُ الْجَوَارِ الْمُنشَآتُ فِي الْبَحْرِ كَالْأَعْلَامِ","اور یہ جہاز اُسی کے ہیں جو سمندر میں پہاڑوں کی طرح اونچے اٹھے ہوئے ہیں","His are the ships, towering on the sea like mountains."
"4926","55","25","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کے کن کن احسانات کو جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4927","55","26","كُلُّ مَنْ عَلَيْهَا فَانٍ","ہر چیز جو اس زمین پر ہے فنا ہو جانے والی ہے","All that is on earth will perish,"
"4928","55","27","وَيَبْقَىٰ وَجْهُ رَبِّكَ ذُو الْجَلَالِ وَالْإِكْرَامِ","اور صرف تیرے رب کی جلیل و کریم ذات ہی باقی رہنے والی ہے","only the Person of your Lord, full of majesty and splendour, will endure."
"4929","55","28","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کے کن کن کمالات کو جھٹلاؤ گے؟","So which of the wonders of your Lord will you twain – you men and jinn – then deny?"
"4930","55","29","يَسْأَلُهُ مَن فِي السَّمَاوَاتِ وَالْأَرْضِ ۚ كُلَّ يَوْمٍ هُوَ فِي شَأْنٍ","زمین اور آسمانوں میں جو بھی ہیں سب اپنی حاجتیں اُسی سے مانگ رہے ہیں ہر آن وہ نئی شان میں ہے","All in the heavens and the earth entreat Him for their needs; a new, mighty task engages Him each day."
"4931","55","30","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پس اے جن و انس، تم اپنے رب کی کن کن صفات حمیدہ کو جھٹلاؤ گے؟","Which of your Lord's laudable attributes will you twain – you men and jinn – then deny?"
"4932","55","31","سَنَفْرُغُ لَكُمْ أَيُّهَ الثَّقَلَانِ","اے زمین کے بوجھو، عنقریب ہم تم سے باز پرس کرنے کے لیے فارغ ہوئے جاتے ہیں","O you twain, who are a burden (on the earth), We shall attend to you and call you to account."
"4933","55","32","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","(پھر دیکھ لیں گے کہ) تم اپنے رب کے کن کن احسانات کو جھٹلاتے ہو","(We shall then see), which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4934","55","33","يَا مَعْشَرَ الْجِنِّ وَالْإِنسِ إِنِ اسْتَطَعْتُمْ أَن تَنفُذُوا مِنْ أَقْطَارِ السَّمَاوَاتِ وَالْأَرْضِ فَانفُذُوا ۚ لَا تَنفُذُونَ إِلَّا بِسُلْطَانٍ","اے گروہ جن و انس، گر تم زمین اور آسمانوں کی سرحدوں سے نکل کر بھاگ سکتے ہو تو بھاگ دیکھو نہیں بھاگ سکتے اِس کے لیے بڑا زور چاہیے","O company of jinn and men, if you have the power to go beyond the bounds of the heavens and the earth, go beyond them! Yet you will be unable to go beyond them for that requires infinite power."
"4935","55","34","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کی کن کن قدرتوں کو تم جھٹلاؤ گے؟","Which of your Lord's powers will you twain – you men and jinn – then deny?"
"4936","55","35","يُرْسَلُ عَلَيْكُمَا شُوَاظٌ مِّن نَّارٍ وَنُحَاسٌ فَلَا تَنتَصِرَانِ","(بھاگنے کی کوشش کرو گے تو) تم پر آگ کا شعلہ اور دھواں چھوڑ دیا جائے گا جس کا تم مقابلہ نہ کر سکو گے","(If you so venture) a flame of fire and smoke shall be lashed at you, which you shall be unable to withstand."
"4937","55","36","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اے جن و انس، تم اپنے رب کی کن کن قدرتوں کا انکار کرو گے؟","Which of your Lord's powers will you twain – you men and jinn – then deny?"
"4938","55","37","فَإِذَا انشَقَّتِ السَّمَاءُ فَكَانَتْ وَرْدَةً كَالدِّهَانِ","پھر (کیا بنے گی اُس وقت) جب آسمان پھٹے گا اور لال چمڑے کی طرح سرخ ہو جائے گا؟","(What will happen) when the heaven will be split asunder and will become crimson like leather?"
"4939","55","38","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اے جن و انس (اُس وقت) تم اپنے رب کی کن کن قدرتوں کو جھٹلاؤ گے؟","Which of your Lord's powers will you twain – you men and jinn – then deny?"
"4940","55","39","فَيَوْمَئِذٍ لَّا يُسْأَلُ عَن ذَنبِهِ إِنسٌ وَلَا جَانٌّ","اُس روز کسی انسان اور کسی جن سے اُس کا گناہ پوچھنے کی ضرورت نہ ہوگی","On that Day there will be no need to ask either men or jinn about their sins."
"4941","55","40","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پھر (دیکھ لیا جائے گا کہ) تم دونوں گروہ اپنے رب کے کن کن احسانات کا انکار کرتے ہو","(We shall see) which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4942","55","41","يُعْرَفُ الْمُجْرِمُونَ بِسِيمَاهُمْ فَيُؤْخَذُ بِالنَّوَاصِي وَالْأَقْدَامِ","مجرم وہاں اپنے چہروں سے پہچان لیے جائیں گے اور انہیں پیشانی کے بال اور پاؤں پکڑ پکڑ کر گھسیٹا جائے گا","The culprits shall be known by their marks, and shall be seized by their forelocks and their feet."
"4943","55","42","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اُس وقت تم اپنے رب کی کن کن قدرتوں کو جھٹلاؤ گے؟","Which of the powers of your Lord, will you twain – you men and jinn – then deny?"
"4944","55","43","هَـٰذِهِ جَهَنَّمُ الَّتِي يُكَذِّبُ بِهَا الْمُجْرِمُونَ","(اُس وقت کہا جائے گا) یہ وہی جہنم ہے جس کو مجرمین جھوٹ قرار دیا کرتے تھے","(It will be said): “This is the Hell that the culprits had cried lies to."
"4945","55","44","يَطُوفُونَ بَيْنَهَا وَبَيْنَ حَمِيمٍ آنٍ","اُسی جہنم اور کھولتے ہوئے پانی کے درمیان وہ گردش کرتے رہیں گے","They will keep circling around between Hell and boiling water."
"4946","55","45","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پھر اپنے رب کی کن کن قدرتوں کو تم جھٹلاؤ گے؟","Which of your Lord's powers will you twain – you men and jinn – then deny?"
"4947","55","46","وَلِمَنْ خَافَ مَقَامَ رَبِّهِ جَنَّتَانِ","اور ہر اُس شخص کے لیے جو اپنے رب کے حضور پیش ہونے کا خوف رکھتا ہو، دو باغ ہیں","For any who fears to stand before his Lord are two Gardens."
"4948","55","47","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of your Lord's favours will you twain – you men and jinn – then deny?"
"4949","55","48","ذَوَاتَا أَفْنَانٍ","ہری بھری ڈالیوں سے بھرپور","These Gardens will abound in green, blooming branches."
"4950","55","49","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of your Lord's favours will you twain – you men and jinn – then deny?"
"4951","55","50","فِيهِمَا عَيْنَانِ تَجْرِيَانِ","دونوں باغوں میں دو چشمے رواں","In each of the two Gardens are two flowing springs."
"4952","55","51","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of your Lord's favours will you twain – you men and jinn – then deny?"
"4953","55","52","فِيهِمَا مِن كُلِّ فَاكِهَةٍ زَوْجَانِ","دونوں باغوں میں ہر پھل کی دو قسمیں","In both these is a pair of every fruit."
"4954","55","53","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of your Lord's favours will you twain – you men and jinn – then deny?"
"4955","55","54","مُتَّكِئِينَ عَلَىٰ فُرُشٍ بَطَائِنُهَا مِنْ إِسْتَبْرَقٍ ۚ وَجَنَى الْجَنَّتَيْنِ دَانٍ","جنتی لوگ ایسے فرشوں پر تکیے لگا کے بیٹھیں گے جن کے استر دبیز ریشم کے ہوں گے، اور باغوں کی ڈالیاں پھلوں سے جھکی پڑ رہی ہوں گی","They shall recline on couches lined with brocade, and within reach shall hang the fruits of the two Gardens."
